,Hatch Time (Cycles),Height (m),Weight (kg),Base Experience Yield,Base Friendship,Male Ratio,Female Ratio,Pseudo Legendary,Legendary,Mythical,Ultra Beast,Paradox,Total EV Yield,Total Base Stat,Normal,Poison,Ground,Rock,Bug,Ghost,Steel,Dragon,Dark,Flying,Fire,Psychic,Ice,Fighting,Water,Grass,Electric,Fairy
22,20,2.0,6.9,62,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,288,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,0.5
23,20,3.5,65.0,147,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,438,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,0.5
24,10,0.4,6.0,82,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,300,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
25,10,0.8,30.0,122,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,3,475,1.0,1.0,2.0,1.0,2.0,2.0,0.5,1.0,2.0,0.5,1.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0
26,20,0.6,12.0,93,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,300,0.5,0.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,4.0,0.5,0.25,4.0,1.0,0.5,1.0,0.5
27,20,1.0,29.5,163,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,450,0.5,0.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,4.0,0.5,0.25,4.0,1.0,0.5,1.0,0.5
28,20,0.4,7.0,59,70,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,275,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,0.5
29,20,0.8,20.0,117,70,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,365,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,0.5
30,20,1.3,60.0,194,70,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,495,1.0,0.25,2.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,2.0,1.0,0.0,0.5
31,20,0.5,9.0,60,70,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,273,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,0.5
32,20,0.9,19.5,118,70,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,365,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,0.5
33,20,1.4,62.0,195,70,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,495,1.0,0.25,2.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,2.0,1.0,0.0,0.5
34,10,0.6,7.5,68,140,0.25,0.75,0.0,0.0,0.0,0.0,0.0,2,323,1.0,2.0,1.0,1.0,0.5,1.0,2.0,0.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
35,10,1.3,40.0,129,140,0.25,0.75,0.0,0.0,0.0,0.0,0.0,3,473,1.0,2.0,1.0,1.0,0.5,1.0,2.0,0.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
36,20,0.6,9.9,63,70,0.25,0.75,0.0,0.0,0.0,0.0,0.0,1,299,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0
37,20,1.1,19.9,178,70,0.25,0.75,0.0,0.0,0.0,0.0,0.0,2,505,1.0,2.0,1.0,2.0,0.5,1.0,4.0,0.0,0.5,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
38,10,0.5,5.5,76,70,0.25,0.75,0.0,0.0,0.0,0.0,0.0,2,270,1.0,2.0,1.0,1.0,0.5,0.0,2.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,10,1.0,12.0,109,70,0.25,0.75,0.0,0.0,0.0,0.0,0.0,3,425,1.0,2.0,1.0,1.0,0.5,0.0,2.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,15,0.8,7.5,54,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,245,1.0,0.5,0.0,2.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.25,1.0,0.25,2.0,0.5
41,15,1.6,55.0,171,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,455,1.0,0.5,0.0,2.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.25,1.0,0.25,2.0,0.5
42,20,0.5,5.4,78,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,320,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.5,0.5,0.25,0.5,0.5
43,20,0.8,8.6,132,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,395,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.5,0.5,0.25,0.5,0.5
44,20,1.2,18.6,184,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,3,480,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.5,0.5,0.25,0.5,0.5
45,20,0.3,5.4,70,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,285,1.0,2.0,0.25,2.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,0.5,0.5,0.25,0.5,1.0
46,20,1.0,29.5,128,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,3,405,1.0,2.0,0.25,2.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,0.5,0.5,0.25,0.5,1.0
47,20,1.0,30.0,75,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,305,1.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.25,1.0,0.25,1.0,0.5
48,20,1.5,12.5,138,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,450,1.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.25,1.0,0.25,1.0,0.5
49,20,0.2,0.8,81,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,265,0.5,0.0,2.0,0.25,0.5,1.0,0.5,0.5,1.0,0.5,2.0,0.5,1.0,2.0,2.0,1.0,0.0,0.5
50,20,0.7,33.3,153,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,405,0.5,0.0,2.0,0.25,0.5,1.0,0.5,0.5,1.0,0.5,2.0,0.5,1.0,2.0,2.0,1.0,0.0,0.5
51,20,0.4,4.2,69,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,290,0.5,0.0,2.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,2.0,0.5,0.5,2.0,1.0,0.5,1.0,0.5
52,20,1.0,32.0,148,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,440,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0
53,20,0.8,19.6,80,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,320,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,2.0,1.0
54,20,1.7,76.6,174,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,500,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,2.0,1.0
55,20,0.5,28.0,74,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,305,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
56,20,1.0,32.0,149,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,455,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
57,20,0.7,19.0,91,70,0.75,0.25,0.0,0.0,0.0,0.0,0.0,1,350,0.5,0.5,4.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.25,1.0,0.5,2.0,4.0,1.0,1.0,0.5
58,20,1.9,155.0,213,70,0.75,0.25,0.0,0.0,0.0,0.0,0.0,2,555,0.5,0.5,4.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.25,1.0,0.5,2.0,4.0,1.0,1.0,0.5
59,20,0.6,12.4,77,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,300,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,2.0,1.0
60,20,1.0,20.0,131,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,385,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,2.0,1.0
61,20,1.3,54.0,185,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,3,500,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5,2.0,0.5,2.0,0.5,1.0,0.5,2.0,2.0,2.0
62,20,0.9,19.5,73,70,0.75,0.25,0.0,0.0,0.0,0.0,0.0,1,310,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0
63,20,1.3,56.5,145,70,0.75,0.25,0.0,0.0,0.0,0.0,0.0,2,400,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0
64,20,1.5,48.0,186,70,0.75,0.25,0.0,0.0,0.0,0.0,0.0,3,490,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0
65,20,0.8,19.5,88,70,0.75,0.25,0.0,0.0,0.0,0.0,0.0,1,305,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
66,20,1.5,70.5,146,70,0.75,0.25,0.0,0.0,0.0,0.0,0.0,2,405,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
67,20,1.6,130.0,193,70,0.75,0.25,0.0,0.0,0.0,0.0,0.0,3,505,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
68,20,0.7,4.0,84,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.5,0.5,0.25,0.5,0.5
69,20,1.0,6.4,151,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,390,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.5,0.5,0.25,0.5,0.5
70,20,1.7,15.5,191,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,3,480,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.5,0.5,0.25,0.5,0.5
71,20,0.9,45.5,105,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,335,1.0,0.5,2.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,2.0,0.5,0.5,0.5,1.0,2.0,0.5
72,20,1.6,55.0,205,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,515,1.0,0.5,2.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,2.0,0.5,0.5,0.5,1.0,2.0,0.5
73,15,0.4,20.0,86,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,300,0.5,0.5,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,1.0,1.0,2.0,2.0,2.0,0.5,1.0
74,15,1.0,105.0,134,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,390,0.5,0.5,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,1.0,1.0,2.0,2.0,2.0,0.5,1.0
75,15,1.4,300.0,177,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,3,485,0.5,0.5,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,1.0,1.0,2.0,2.0,2.0,0.5,1.0
76,20,1.0,30.0,152,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,410,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0
77,20,1.7,95.0,192,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,500,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.5,1.0,0.25,1.0,1.0,1.0,1.0
78,20,1.2,36.0,99,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,315,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0
79,20,1.6,78.5,164,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,490,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.25,1.0,0.5,1.0,0.5
80,20,0.3,6.0,89,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,325,0.5,0.0,4.0,0.5,0.5,1.0,0.25,0.5,1.0,0.25,2.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5
81,20,1.0,60.0,161,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,465,0.5,0.0,4.0,0.5,0.5,1.0,0.25,0.5,1.0,0.25,2.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5
82,20,0.8,15.0,94,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,352,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
83,20,1.4,39.2,96,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,310,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0
84,20,1.8,85.2,158,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,460,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0
85,20,1.1,90.0,100,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,325,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,2.0,1.0
86,20,1.7,120.0,176,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,475,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,0.5,2.0,2.0,1.0
87,20,0.9,30.0,90,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,325,1.0,0.5,2.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0
88,20,1.2,30.0,157,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,500,1.0,0.5,2.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0
89,20,0.3,4.0,97,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,305,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,2.0,1.0
90,20,1.5,132.5,203,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,525,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,0.5,2.0,2.0,1.0
91,20,1.3,0.1,95,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,310,0.0,0.25,0.0,1.0,0.25,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.5,1.0,0.5
92,20,1.6,0.1,126,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,405,0.0,0.25,0.0,1.0,0.25,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.5,1.0,0.5
93,20,1.5,40.5,190,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,3,500,0.0,0.25,2.0,1.0,0.25,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.5,1.0,0.5
94,25,8.8,210.0,108,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,385,0.5,0.25,2.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,4.0,4.0,0.0,1.0
95,20,1.0,32.4,102,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,328,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0
96,20,1.6,75.6,165,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,483,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0
97,20,0.4,6.5,115,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,325,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,2.0,1.0
98,20,1.3,60.0,206,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,475,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,2.0,1.0
99,20,0.5,10.4,103,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,330,1.0,2.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,0.25,1.0
100,20,1.2,66.6,150,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,480,1.0,2.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,0.25,1.0
101,20,0.4,2.5,98,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,325,1.0,2.0,0.5,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,0.5,2.0,0.5,0.5,0.5,0.5,1.0
102,20,2.0,120.0,212,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,520,1.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,0.25,0.25,0.25,2.0
103,20,0.4,6.5,87,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,320,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0
104,20,1.0,45.0,124,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,425,0.0,0.5,2.0,2.0,0.25,2.0,0.5,1.0,2.0,1.0,0.5,1.0,0.5,0.0,2.0,0.5,1.0,0.5
105,25,1.5,49.8,139,70,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,455,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
106,25,1.4,50.2,140,70,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,455,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
107,20,1.2,65.5,127,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,385,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
108,20,0.6,1.0,114,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,340,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,0.5
109,20,1.2,9.5,173,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,490,1.0,1.0,2.0,1.0,0.25,1.0,2.0,0.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,0.5,1.0,0.5
110,20,1.0,115.0,135,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,345,0.5,0.25,2.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,4.0,4.0,0.0,1.0
111,20,1.9,120.0,204,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,485,0.5,0.25,2.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,4.0,4.0,0.0,1.0
112,40,1.1,34.6,255,140,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,450,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
